FREB01H3,Language Studies (UTSC)
EESA10H3,Dept. of Physical & Environmental Sci (UTSC)
MIE414H1,Mechanical & Industrial Engineering
CCT473H5,Institute of Communication and Culture
ASTC25H3,Dept. of Physical & Environmental Sci (UTSC)
ARA412Y5,Language Studies
ENG349H5,English and Drama
JAV151H1,John H. Daniels Faculty of Architecture, Landscape, & Design
PSY270H5,Psychology
MAT187H1,Engineering First Year Office
CME263H1,Civil and Mineral Engineering
PSY404H5,Psychology
LINB06H3,Language Studies (UTSC)
ENG235H1,English
EAS357H1,East Asian Studies
PMU330Y1,Faculty of Music
JEG400Y5,Geography, Geomatics and Environment
CITC10H3,Human Geography (UTSC)
WRI488H5,Institute of Communication and Culture
ESTC35H3,Dept. of Physical & Environmental Sci (UTSC)
PSL301H1,Physiology
POL327Y5,Political Science
VPSC79H3,Dept. of Arts, Culture & Media (UTSC)
COPA91Y3,University of Toronto Scarborough
FLDA01Y3,Dept. of Arts, Culture & Media (UTSC)
RLG492H1,Department for the Study of Religion
OMU611H1,Faculty of Music
HIS103Y1,History
ECE431H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
EEB498Y1,Ecology and Evolutionary Biology
FRE369H5,Language Studies
PMU385Y1,Faculty of Music
ENGC39H3,English (UTSC)
MGEC11H3,Management (UTSC)
CHMA12H3,Dept. of Physical & Environmental Sci (UTSC)
ECE330H1,Edward S. Rogers Sr. Dept. of Electrical & Computer Engin.
MGFB10H3,Management (UTSC)
PMU283Y1,Faculty of Music
SOC493H5,Sociology
MIE360H1,Mechanical & Industrial Engineering
VPSB73H3,Dept. of Arts, Culture & Media (UTSC)
JMU292Y1,Faculty of Music
IMI303H5,Institute for Management and Innovation
ENGB30H3,English (UTSC)
BME352H1,Institute of Biomedical Engineering
MGED63H3,Management (UTSC)
ECO435H5,Economics
PSY374H5,Psychology
CLA319H5,Historical Studies
GGRC02H3,Human Geography (UTSC)
BIO406H5,Biology
CSC311H5,Mathematical and Computational Sciences
FAH493H5,Visual Studies
PHLB07H3,Philosophy (UTSC)
CSC290H5,Mathematical and Computational Sciences
MAT186H1,Engineering First Year Office
WRI365Y5,Institute of Communication and Culture
SWK302H1,Factor Inwentash Faculty of Social Work
PHY327H1,Division of Engineering Science
MGIC02H3,Management (UTSC)
ECTD69H3,Language Studies (UTSC)
FSC430H5,Anthropology
BCH210H1,Biochemistry
ECO433H5,Economics
ENG424H5,English and Drama
PSY440H5,Psychology
MIE561H1,Mechanical & Industrial Engineering
GRK102H1,Classics
SOC362H5,Sociology
MAT236H5,Mathematical and Computational Sciences
PSYC71H3,Psychology (UTSC)
FSC271H5,Anthropology
GGRB02H3,Human Geography (UTSC)
ARC367H1,John H. Daniels Faculty of Architecture, Landscape, & Design
FREB55H3,Language Studies (UTSC)
FAS234H5,Visual Studies
COPA84Y3,University of Toronto Scarborough
MDSC01H3,Dept. of Arts, Culture & Media (UTSC)
PHL232H1,Philosophy
HIS388H5,Historical Studies
ECO351H1,Economics
EMU480H1,Faculty of Music
HIS241H1,History
CTLB03H3,Centre for Teaching and Learning (UTSC)
MGT262H5,Management
EMU254H1,Faculty of Music
WGS451H1,Women and Gender Studies Institute
MAT132H5,Mathematical and Computational Sciences
EDS325H5,Language Studies
CLA204H1,Classics
HLTB22H3,Health and Society (UTSC)
OMU602Y1,Faculty of Music
CCT380H5,Institute of Communication and Culture
CLA368H1,Classics
MAT332H5,Mathematical and Computational Sciences
FREB27H3,Language Studies (UTSC)
CSCD95H3,Dept. of Computer & Mathematical Sci (UTSC)
LIND01H3,Language Studies (UTSC)
RLG401H5,Historical Studies
ARC200H1,John H. Daniels Faculty of Architecture, Landscape, & Design
SOC496H1,Sociology
ENV493H1,School of Environment
HISB03H3,Dept. of Historical & Cultural Studies (UTSC)
FRE383H5,Language Studies
STAB23H3,Dept. of Computer & Mathematical Sci (UTSC)
MSE351H1,Materials Science and Engineering
BIOC34H3,Biological Sciences (UTSC)
VPAA10H3,Dept. of Arts, Culture & Media (UTSC)
STAD95H3,Dept. of Computer & Mathematical Sci (UTSC)
ISP010H5,Institute for the Study of University Pedagogy
MATD46H3,Dept. of Computer & Mathematical Sci (UTSC)
PHL432H5,Philosophy
CIV331H1,Civil and Mineral Engineering
FSC370H5,Anthropology
PHL239H5,Philosophy
MAT102H5,Mathematical and Computational Sciences
SOC212H1,Sociology
SOC494H5,Sociology
ENGB04H3,English (UTSC)
HIS493H5,Historical Studies
BIO417H5,Biology
ENG206H5,English and Drama
TEP320H1,Inst for Studies in Transdisciplinary Engin Educ & Practice
ARC381Y1,John H. Daniels Faculty of Architecture, Landscape, & Design
RLG348H5,Historical Studies
EESB15H3,Dept. of Physical & Environmental Sci (UTSC)
BIOA01H3,Biological Sciences (UTSC)
FREA99H3,Language Studies (UTSC)
POL242Y5,Political Science
TMU309H1,Faculty of Music
POLC11H3,Political Science (UTSC)
COG498H1,University College
MAT136H1,Mathematics
FSC483H5,Anthropology
CHE499Y1,Chemical Engineering and Applied Chemistry
STAC67H3,Dept. of Computer & Mathematical Sci (UTSC)
THRA10H3,Dept. of Arts, Culture & Media (UTSC)
ANTC47H3,Anthropology (UTSC)
GGR217H5,Geography, Geomatics and Environment
ERS325H5,Chemical and Physical Sciences
CCT416H5,Institute of Communication and Culture
SOC421H5,Sociology
CCT333H5,Institute of Communication and Culture
MGM360H5,Management
NEW495Y1,New College
EAS284H1,East Asian Studies
CCT449H5,Institute of Communication and Culture
CCT351H5,Institute of Communication and Culture
GASA01H3,Dept. of Historical & Cultural Studies (UTSC)
PSY371H5,Psychology
PSYB03H3,Psychology (UTSC)
MATC46H3,Dept. of Computer & Mathematical Sci (UTSC)
ENGB19H3,English (UTSC)
EESD18H3,Dept. of Physical & Environmental Sci (UTSC)
POL216H5,Political Science
CLA230H5,Historical Studies
ENG237H5,English and Drama
CSB329H1,Cell and Systems Biology
ECE358H1,Division of Engineering Science
BIOC60H3,Biological Sciences (UTSC)
CHMC31Y3,Dept. of Physical & Environmental Sci (UTSC)
ANT101H5,Anthropology
